TotalVisitedPatients,MncVisiteDate,DistrictId,TalukaId,ReportingMonthyear
11,2017-04-04,1,103,2017-04-01
20,2017-04-07,1,104,2017-04-01
5,2017-04-11,1,105,2017-04-01
2,2017-04-18,1,101,2017-04-01
0,2017-04-25,1,102,2017-04-01
16,2017-04-18,18,150,2017-04-01
18,2017-04-21,18,151,2017-04-01
43,2017-04-04,30,201,2017-04-01
4,2017-05-02,1,103,2017-05-01
34,2017-05-05,1,104,2017-05-01
19,2017-05-09,1,105,2017-05-01
1,2017-05-16,1,101,2017-05-01
2,2017-05-23,1,102,2017-05-01
20,2017-05-16,18,150,2017-05-01
12,2017-05-19,18,151,2017-05-01
38,2017-05-02,30,201,2017-05-01
13,2017-05-09,30,205,2017-05-01
42,2017-06-02,1,104,2017-06-01
17,2017-06-06,1,103,2017-06-01
39,2017-06-13,1,105,2017-06-01
16,2017-06-20,1,101,2017-06-01
10,2017-06-27,1,102,2017-06-01
21,2017-06-19,18,151,2017-06-01
26,2017-06-20,18,150,2017-06-01
12,2017-06-13,30,205,2017-06-01
37,2017-06-13,30,201,2017-06-01
9,2017-07-04,1,103,2017-07-01
42,2017-07-07,1,104,2017-07-01
24,2017-07-11,1,105,2017-07-01
0,2017-07-18,1,101,2017-07-01
2,2017-07-25,1,102,2017-07-01
18,2017-07-18,18,150,2017-07-01
20,2017-07-21,18,151,2017-07-01
15,2017-07-11,30,205,2017-07-01
34,2017-07-11,30,201,2017-07-01
11,2017-08-01,1,103,2017-08-01
52,2017-08-04,1,104,2017-08-01
21,2017-08-08,1,105,2017-08-01
0,2017-08-15,1,101,2017-08-01
0,2017-08-22,1,102,2017-08-01
14,2017-08-18,18,151,2017-08-01
11,2017-08-24,18,150,2017-08-01
313,2017-08-01,25,177,2017-08-01
138,2017-08-01,25,179,2017-08-01
41,2017-08-01,25,178,2017-08-01
17,2017-08-01,30,206,2017-08-01
12,2017-08-08,30,205,2017-08-01
41,2017-08-08,30,201,2017-08-01
24,2017-08-31,39,244,2017-08-01
26,2017-08-31,39,245,2017-08-01
20,2017-08-31,39,246,2017-08-01
29,2017-08-31,39,247,2017-08-01
37,2017-08-31,39,248,2017-08-01
113,2017-08-31,42,262,2017-08-01
38,2017-08-31,42,261,2017-08-01
150,2017-08-31,42,263,2017-08-01
54,2017-09-01,1,104,2017-09-01
10,2017-09-05,1,103,2017-09-01
21,2017-09-12,1,105,2017-09-01
7,2017-09-19,1,101,2017-09-01
0,2017-09-26,1,102,2017-09-01
15,2017-09-05,12,120,2017-09-01
27,2017-09-12,12,119,2017-09-01
12,2017-09-12,12,124,2017-09-01
22,2017-09-12,12,117,2017-09-01
33,2017-09-12,12,121,2017-09-01
10,2017-09-19,12,118,2017-09-01
0,2017-09-19,12,122,2017-09-01
39,2017-09-26,12,116,2017-09-01
5,2017-09-26,12,123,2017-09-01
11,2017-09-15,18,151,2017-09-01
167,2017-09-26,18,147,2017-09-01
13,2017-09-28,18,150,2017-09-01
34,2017-09-30,21,167,2017-09-01
43,2017-09-30,21,168,2017-09-01
30,2017-09-30,21,169,2017-09-01
19,2017-09-30,21,170,2017-09-01
31,2017-09-30,21,166,2017-09-01
50,2017-09-30,21,170,2017-09-01
298,2017-09-01,25,177,2017-09-01
14,2017-09-05,30,205,2017-09-01
21,2017-09-05,30,206,2017-09-01
16,2017-09-12,30,201,2017-09-01
6,2017-09-16,34,221,2017-09-01
13,2017-09-16,34,223,2017-09-01
81,2017-09-16,34,222,2017-09-01
5,2017-09-16,34,224,2017-09-01
6,2017-09-16,34,226,2017-09-01
20,2017-09-16,34,225,2017-09-01
0,2017-09-16,34,227,2017-09-01
0,2017-09-16,34,227,2017-09-01
24,2017-09-30,39,244,2017-09-01
23,2017-09-30,39,245,2017-09-01
27,2017-09-30,39,246,2017-09-01
36,2017-09-30,39,247,2017-09-01
